CODEN	ISSN	Serial Title	Publisher Name	
PIDCFB	1082-8907	"IEEE International Symposium on High Performance Distributed Computing,   Proceedings"	IEEE	
85PTAR		IEEE International Symposium on Industrial Electronics	IEEE	
PISTFZ		IEEE International Symposium on Information Theory - Proceedings	IEEE	
85PUAU		IEEE International Symposium on Intelligent Control - Proceedings	IEEE	
002295		"IEEE International Symposium on Personal, Indoor and Mobile Radio   Communications, PIMRC"	IEEE	
002502		IEEE International Symposium on Phased Array Systems and Technology	IEEE	
PIIPF7	1402-9855	"IEEE International Symposium on Polymeric Electronics Packaging, PEP"	IEEE	
PISDEK		IEEE International Symposium on Power Semiconductor Devices & ICs (ISPSD)	IEEE	
002876	1523-553X	"IEEE International Symposium on Semiconductor Manufacturing Conference,   Proceedings"	IEEE	
85QWA7		IEEE International Symposium on Spread Spectrum Techniques & Applications	IEEE	
PITCFN	1089-3539	IEEE International Test Conference (TC)	IEEE	
002829		"IEEE International Workshop on Broadband Switching Systems, Proceedings, BSS"	IEEE	
85OVAS		IEEE International Workshop on Configurable Distributed Systems -Proceedings	IEEE	
85PVAX	1063-6722	IEEE International Workshop on Defect and Fault Tolerance in VLSI Systems	IEEE	
002226		"IEEE International Workshop on Factory Communication Systems, WPCS,   Proceedings,"	IEEE	
002766		"IEEE International Workshop on IDDQ Testing, Digest of Papers"	IEEE Comp Soc	
85ORAG		"IEEE International Workshop on Modeling, Analysis, and Simulation of Computer   and Telecommunication Systems - Proceedings"	IEEE	
002555		"IEEE International Workshop on Variable Structure Systems, VSS, Proceedings"	IEEE	
IICOFX	1089-7801	IEEE Internet Computing	IEEE	
IJOEDY	0364-9059	IEEE Journal of Oceanic Engineering	IEEE	
IEJQA7	0018-9197	IEEE Journal of Quantum Electronics	IEEE	
IJSCBC	0018-9200	IEEE Journal of Solid-State Circuits	IEEE	
ISACEM	0733-8716	IEEE Journal on Selected Areas in Communications	IEEE	
IJSQEN	1077-260X	IEEE Journal on Selected Topics in Quantum Electronics	IEEE	
IEMIDZ	0272-1732	IEEE Micro	IEEE	
IMGLE3	1051-8207	IEEE Microwave and Guided Wave Letters	IEEE	
IMIDDM	0149-645X	IEEE MTT-S International Microwave Symposium Digest	IEEE	
002612		"IEEE MTT-S International Topical Symposium on Technologies for Wireless   Applications, Proceedings"	IEEE	
IEMUE4	1070-986X	IEEE Multimedia	IEEE	
RINRFQ	1097-5659	IEEE National Radar Conference - Proceedings	IEEE	
INCCEV		IEEE National Telesystems Conference Proceedings	IEEE	
IENEET	0890-8044	IEEE Network	IEEE	
85PWA2		"IEEE Nonlinear Optics: Materials, Fundamentals and Applications - Conference   Proceedings"	IEEE	
85OQAD		IEEE Nuclear Science Symposium & Medical Imaging Conference	IEEE	
002121		"IEEE Pacific RIM Conference on Communications, Computers, and Signal   Processing - Proceedings"	IEEE	
IPDTEX	1063-6552	IEEE Parallel and Distributed Technology	IEEE	
IPCME7	1070-9916	IEEE Personal Communications	IEEE	
IPTLEL	1041-1135	IEEE Photonics Technology Letters	IEEE	
IEPTDF	0278-6648	IEEE Potentials	IEEE	
PICPEA		IEEE Power Industry Computer Applications Conference	IEEE	
002540		IEEE Radiation Effects Data Workshop	IEEE	
002634	1097-2633	"IEEE Radio Frequency Integrated Circuits Symposium, RFIC, Digest of Technical   Papers"	IEEE	
85QXAA		"IEEE Region 10 Annual International Conference, Proceedings/TENCON"	IEEE	
IRAMEB	1070-9932	IEEE Robotics & Automation Magazine	IEEE	
002530		"IEEE Semiconducting and Semi-Insulating Materials Conference, SIMC"	IEEE	
ISPLEM	1070-9908	IEEE Signal Processing Letters	IEEE	
ISPRE6	1053-5888	IEEE Signal Processing Magazine	IEEE	
002659		"IEEE Signal Processing Workshop on Higher-Order Statistics, Proceedings"	IEEE	
002720		"IEEE Signal Processing Workshop on Signal Processing Advances in Wireless   Communications, SPAWC"	IEEE	
002414		"IEEE Signal Processing Workshop on Statistical Signal and Array Processing,   SSAP"	IEEE	
IESOEG	0740-7459	IEEE Software	IEEE	
IEESAM	0018-9235	IEEE Spectrum	IEEE	
002113		IEEE Symposium on Computers and Communications - Proceedings	IEEE	
85ROAM		"IEEE Symposium on Emerging Technologies & Factory Automation, ETFA"	IEEE	
002320	1082-3409	"IEEE Symposium on FPGAs for Custom Computing Machines, Proceedings"	IEEE	
85QYAD		IEEE Symposium on Low Power Electronics	IEEE	
PIVLFQ	1049-2615	"IEEE Symposium on Visual Languages, Proceedings"	IEEE	
85PXA5		"IEEE Symposium on VLSI Circuits, Digest of Technical Papers"	IEEE	
INOSE3		IEEE Symposium Record on Network Operations and Management Symposium	IEEE	
ITSMDC	0278-0097	IEEE Technology and Society Magazine	IEEE	
001744		IEEE Topical Meeting on Electrical Performance of Electronic Packaging	IEEE	
ITAPFZ	1521-3323	IEEE Transactions on Advanced Packaging	IEEE	
IEARAX	0018-9251	IEEE Transactions on Aerospace and Electronic Systems	IEEE	
IETPAK	0018-926X	IEEE Transactions on Antennas and Propagation	IEEE	
ITASE9	1051-8223	IEEE Transactions on Applied Superconductivity	IEEE	
IETAA9	0018-9286	IEEE Transactions on Automatic Control	IEEE	
IEBEAX	0018-9294	IEEE Transactions on Biomedical Engineering	IEEE	
IETBAC	0018-9316	IEEE Transactions on Broadcasting	IEEE	
ITCTEM	1051-8215	IEEE Transactions on Circuits and Systems for Video Technology	IEEE	
ITCAEX	1057-7122	IEEE Transactions on Circuits and Systems I: Fundamental Theory and   Applications	IEEE	
ICSPE5	1057-7130	IEEE Transactions on Circuits and Systems II: Analog and Digital Signal   Processing	IEEE	
IECMBT	0090-6778	IEEE Transactions on Communications	IEEE	
IMTAEZ	1070-9886	"IEEE Transactions on Components, Packaging, and Manufacturing Technology Part   A"	IEEE	
ITCMF2	1083-4400	"IEEE Transactions on Components, Packaging, and Manufacturing Technology Part   C: Manufacturing"	IEEE	
ITCSDI	0278-0070	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	IEEE	
ITCOB4	0018-9340	IEEE Transactions on Computers	IEEE	
ITCEDA	0098-3063	IEEE Transactions on Consumer Electronics	IEEE	
IETTE2	1063-6536	IEEE Transactions on Control Systems Technology	IEEE	
ITDIES	1070-9878	IEEE Transactions on Dielectrics and Electrical Insulation	IEEE	
IEEDAB	0018-9359	IEEE Transactions on Education	IEEE	
IEMCAE	0018-9375	IEEE Transactions on Electromagnetic Compatibility	IEEE	
IETDAI	0018-9383	IEEE Transactions on Electron Devices	IEEE	
ITCNE4	0885-8969	IEEE Transactions on Energy Conversion	IEEE	
IEEMA4	0018-9391	IEEE Transactions on Engineering Management	IEEE	
ITEVF5	1089-778X	IEEE Transactions on Evolutionary Computation	IEEE	
IEFSEV	1063-6706	IEEE Transactions on Fuzzy Systems	IEEE	
IGRSD2	0196-2892	IEEE Transactions on Geoscience and Remote Sensing	IEEE	
IIPRE4	1057-7149	IEEE Transactions on Image Processing	IEEE	
ITIED6	0278-0046	IEEE Transactions on Industrial Electronics	IEEE	
ITIACR	0093-9994	IEEE Transactions on Industry Applications	IEEE	
ITIBFX	1089-7771	IEEE Transactions on Information Technology in Biomedicine	IEEE	
IETTAW	0018-9448	IEEE Transactions on Information Theory	IEEE	
IEIMAO	0018-9456	IEEE Transactions on Instrumentation and Measurement	IEEE	
ITKEEH	1041-4347	IEEE Transactions on Knowledge and Data Engineering	IEEE	
IEMGAQ	0018-9464	IEEE Transactions on Magnetics	IEEE	
ITMID4	0278-0062	IEEE Transactions on Medical Imaging	IEEE	
IETMAB	0018-9480	IEEE Transactions on Microwave Theory and Techniques	IEEE	
ITNNEP	1045-9227	IEEE Transactions on Neural Networks	IEEE	
IETNAE	0018-9499	IEEE Transactions on Nuclear Science	IEEE	
ITDSEO	1045-9219	IEEE Transactions on Parallel and Distributed Systems	IEEE	
ITPIDJ	0162-8828	IEEE Transactions on Pattern Analysis and Machine Intelligence	IEEE	
ITPSBD	0093-3813	IEEE Transactions on Plasma Science	IEEE	
ITPDE5	0885-8977	IEEE Transactions on Power Delivery	IEEE	
ITPEE8	0885-8993	IEEE Transactions on Power Electronics	IEEE	
ITPSEG	0885-8950	IEEE Transactions on Power Systems	IEEE	
IEPCBU	0361-1434	IEEE Transactions on Professional Communication	IEEE	
IEEREN	1063-6528	IEEE Transactions on Rehabilitation Engineering	IEEE	
IEERAJ	0018-9529	IEEE Transactions on Reliability	IEEE	
IRAUEZ	1042-296X	IEEE Transactions on Robotics and Automation	IEEE	
ITSMED	0894-6507	IEEE Transactions on Semiconductor Manufacturing	IEEE	
ITPRED	1053-587X	IEEE Transactions on Signal Processing	IEEE	
IESEDJ	0098-5589	IEEE Transactions on Software Engineering	IEEE	
IESPEJ	1063-6676	IEEE Transactions on Speech and Audio Processing	IEEE	
ITCRFH	1094-6977	"IEEE Transactions on Systems, Man & Cybernetics Part C: Applications and   Reviews"	IEEE	
ITSHFX	1083-4427	"IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans."	IEEE	
ITSCFI	1083-4419	"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics"	IEEE	
ITUCER	0885-3010	"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control"	IEEE	
ITVTAB	0018-9545	IEEE Transactions on Vehicular Technology	IEEE	
IEVSE9	1063-8210	IEEE Transactions on Very Large Scale Integration (VLSI) Systems	IEEE	
ITVGEA	1077-2626	IEEE Transactions on Visualization and Computer Graphics	IEEE	
IVTCDZ	0740-0551	IEEE Vehicular Technology Conference	IEEE	
002381		"IEEE WESCANEX Communications, Power, and Computing"	IEEE	
85QZAG		IEEE Workshop on Applications of Computer Vision - Proceedings	IEEE	
002831		IEEE Workshop on Automatic Speech Recognition and Understanding Proceedings	IEEE	
IWCEFX		IEEE Workshop on Computers in Power Electronics	IEEE	
002471		"IEEE Workshop on Interactive Voice Technology for Telecommunications   Applications, IVTTA"	IEEE	
85RAAE		IEEE Workshop on Power Electronics in Transportation	IEEE	
002756		IEEE Workshop on Speech Coding for Telecommunications - Proceedings	IEEE	
85PYA8		"IEEE Workshop on VLSI Signal Processing, Proceedings"	IEEE	
002553		"IEEE-CAS Region 8 Workshop on Analog and Mixed IC Design, Proceedings"	IEEE	
DICDFD	1092-3152	"IEEE/ACM International Conference on Computer-Aided Design, Digest of   Technical Papers"	IEEE	
IEANEP	1063-6692	IEEE/ACM Transactions on Networking	IEEE	
002803		"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM"	IEEE	
IATEFW	1083-4435	IEEE/ASME Transactions on Mechatronics	IEEE	
002304		"IEEE/IAFE Conference on Computational Intelligence for Financial Engineering,   Proceedings (CIFEr)"	IEEE	
002119		"IEEE/IAS International Conference on Industrial Automation and Control,   Proceedings"	IEEE	
IASPFQ		IEEE/SEMI Advanced Semiconductor Manufacturing Conference and Workshop	IEEE	
ITRCEC	0916-8516	IEICE Transactions on Communications	IEICE of Japan	
IELEEJ	0916-8524	IEICE Transactions on Electronics	IEICE of Japan	
IFESEX	0916-8508	"IEICE Transactions on Fundamentals of Electronics, Communications and   Computer Sciences"	IEICE of Japan	
ITISEF	0916-8532	IEICE Transactions on Information and Systems	IEICE of Japan	
IEJOD4	0377-7464	IES Journal	"Institution of Engineers, Singapore"	
002604	0377-2063	IETE Journal of Research	IETE	
ITREEI	0256-4602	"IETE Technical Review (Institution of Electronics and Telecommunication   Engineers, India)"	IETE	
000099		"IGT International Symposium on Gas, Oil, Coal, and Environmental   Biotechnology"	Inst of Gas Technology	
IISOFB	1085-1259	IIE Solutions	IIE	
IIETDM	0740-817X	IIE Transactions (Institute of Industrial Engineers)	Kluwer Academic Publishers	
IVSRE8	0961-1290	III-Vs Review	Elsevier Science Ltd	
IIJAEP	1045-0823	"IJCAI, Proceedings of the International Joint Conference on Artificial   Intelligence"	Morgan Kaufmann Publ Inc	
ILLHE9	1073-0478	Illahee: Journal for the Northwest Environment	Univ of Washington	
IJAMDM	0272-4960	IMA Journal of Applied Mathematics (Institute of Mathematics & Its   Applications)	Oxford Univ Press	
IJMIE3	0265-0754	IMA Journal of Mathematical Control and Information	Oxford Univ Press	
IMJIE9	0953-0061	IMA Journal of Mathematics Applied in Business and Industry	Oxford Univ Press	
IJMBEG	0265-0746	IMA Journal of Mathematics Applied in Medicine & Biology	Oxford Univ Press	
IJNADH	0272-4979	IMA Journal of Numerical Analysis	Oxford Univ Press	
IVCODK	0262-8856	Image and Vision Computing	Elsevier Science Ltd	
IMATEV	0950-2114	Image Technology (London)	BKSTS	
IDSOFA	1083-2912	Imaging & Document Solutions	Telecom Library Inc	
IMBUF6	1079-9346	Imaging Business	"Phillips Business Information, Inc."	
002922	1087-2817	In Plant Graphics	North Am Publ Co	
ISOMDJ	0146-2520	In Situ	Marcel Dekker Inc	
002933	1071-832X	In-Plant Printer	Innes Publ Co	
IDPEEW	1043-7320	Independent Energy	PennWell Publ Co	
ICHEAF	0019-4506	Indian Chemical Engineer	Indian Inst Chem Eng	
ICJOAL	0019-4565	Indian Concrete Journal	Assoc Cement Co Ltd	
IFPAAU	0019-4808	Indian Food Packer	All India Food Preserv Assoc	
IFORA8	0019-4816	Indian Forester	Indian For	
IJASA3	0019-5022	Indian Journal of Agricultural Sciences	Indian Council of Agricultural Research	
IJBBBQ	0301-1208	Indian Journal of Biochemistry and Biophysics	CSIR Publ Inf Dir	
IJEPDH	0253-7141	Indian Journal of Environmental Protection	Kalpana Corp	
IJEBA6	0019-5189	Indian Journal of Experimental Biology	Nat Inst Sci Commun	
IJFRET	0971-0426	Indian Journal of Fibre & Textile Research	CSIR Publ Inf Dir	
IJPYAS	0019-5480	Indian Journal of Physics and Proceedings of the Indian Association for the   Cultivation of Science	Indian Association for the Cultivation of Science	
IJPRA7	0019-5537	Indian Journal of Power and River Valley Development	Books & Journals Private Ltd	
IJOPAU	0019-5596	Indian Journal of Pure & Applied Physics	CSIR Publ Inf Dir	
IJMHAU	0019-5588	Indian Journal of Pure and Applied Mathematics	Indian National Science Academy	
IJRSAK	0367-8393	Indian Journal of Radio & Space Physics	CSIR Publ Inf Dir	
INTJAV	0019-6436	Indian Textile Journal	Bus Press Priv Ltd	
ICAMA4	0019-7548	Industria Della Carta	Arti Poligrafiche Europee SAS	
IICEAW	0019-7637	Industria Italiana del Cemento	SIPI	
IECRED	0888-5885	Industrial & Engineering Chemistry Research	ACS	
001836	0309-0728	Industrial Archaeology Review	Association for Industrial Archaeology	
INBOES	1056-7194	Industrial Bioprocessing	Tech Insights Inc	
INCEE3	1121-7588	Industrial Ceramics	Techna Srl	
ICOMEA	1045-0203	Industrial Computing	Instrument Society of America	
INDRA9	0019-8145	Industrial Diamond Review	De Beers Ind Diamond Div Ltd	
INDDAZ	0019-8153	Industrial Distribution	Cahners Bus Inf	
IERCE9		Industrial Engineering Research - Conference Proceedings	IIE	
002709		"Industrial Engineering Solutions Conference, Proceedings"	IIE	
INHTAZ	0019-8374	Industrial Heating	Business News Publishing Co	
INDLAP	0019-8447	Industrial Laboratory (USSR) (English translation of Zavodskaya Laboratoriya)	Plenum Publ Corp	
ILTRA7	0036-8792	Industrial Lubrication and Tribology	MCB Univ Press Ltd	
IMPOAJ	1084-9017	Industrial Maintenance and Plant Operations	Cahners Bus Inf	
IMNGDM	0019-8471	"Industrial Management (Norcross, Georgia)"	IIE	
IMDSD8	0263-5577	Industrial Management and Data Systems	MCB Univ Press Ltd	
IMTHAI	0019-8528	Industrial Mathematics	Industrial Mathematics Soc	
IPPOEA	1073-4651	Industrial Paint & Powder	Cahners Bus Inf	
INPHFA	1082-1848	Industrial Physicist	American Inst of Physics	
IDRBAT	0143-991X	Industrial Robot	MCB Univ Press Ltd	
85SDAS		Industrial-Strength Formal Specification Techniques - IEEE Workshop	IEEE	
INALBB	0019-901X	Industrie Alimentari	Chiriotti Editori S p A	
IDCQAX	0019-9044	Industrie Ceramique & Verriere	L'Industrie Ceramique & Verriere	
INTPAF	0019-9176	Industrie Textile	Editions de l' Ind Text	
IALAA9	0019-9311	Industries Alimentaires et Agricoles	Assoc Chimistes	
002252	0150-6617	Industries et Techniques	Groupe Tests	
001835	0537-5819	Industries et Techniques Francaises	C E P Information Technologie	
IENVDB	0378-9993	Industry and Environment	UN Environment Programme	
IWEEA4	0039-0895	Industry Week	Penton Publ Inc	
IFDBEB	0891-6004	InfoDB	DataBase Associates	
INFRCL	0315-5986	INFOR Journal	Univ of Toronto Press	
INFREN	0892-3876	Inform (Silver Spring)	Assoc for Information & Image Management	
IFRMEC	0897-8026	"INFORM - International News on Fats, Oils and Related Materials"	American Oil Chemists' Soc	
ITECFG	0716-8756	Informacion Tecnologica	CIT	
INFOFF	0350-5596	Informatica (Ljubljana)	Slovene Society Informatika	
IFENEI	0178-3564	Informatik - Forschung und Entwicklung	Springer-Verlag GmbH & Company KG	
INSKDW	0170-6012	Informatik - Spektrum	Springer-Verlag GmbH & Company KG	
IMANDC	0378-7206	Information & Management	Elsevier Science Publishers B.V.	
INFCEC	0890-5401	Information and Computation	Academic Press Inc	
ISOTE7	0950-5849	Information and Software Technology	Elsevier Sci B.V.	
INFDAB	0362-0972	Information Display	SID	
IEPODY	0167-6245	Information Economics and Policy	Elsevier Science Publishers B.V.	
IMCSE4	0968-5227	Information Management & Computer Security	MCB Univ Press Ltd	
IPMADK	0306-4573	Information Processing & Management	Elsevier Science Ltd	
IFPLAT	0020-0190	Information Processing Letters	Elsevier Science Publishers B.V.	
ISIJBC	0020-0255	Information Sciences	Elsevier Science Inc	
ISAPER	1069-0115	Information Sciences Applications	Elsevier Science Publ Co Inc	
ISTRFR	1363-4127	Information Security Technical Report	Elsevier Sci Ltd	
ISUSDX	0167-5265	Information Services and Use	IOS Press	
INSYD6	0306-4379	Information Systems	Elsevier Science Ltd	
003207		"Information Technology News (for the Wood Product, Pulp, Paper and Converting   Industries)"	Fadum Enterp  Inc	
INFCA8	0020-045X	Informations Chimie	Soc d'Expansion Technique & Economique SA	
ITINEY	0944-2774	Informationstechnik und Technische Informatik	R. Oldenbourg Verlag GmbH	
IORME7	1330-0067	Informatologia	HIDRA	
INWODU	0199-6649	InfoWorld	InfoWorld Publ Co	
IPTEEY	1350-4495	Infrared Physics & Technology	Elsevier Science B.V.	
INFEAE	0020-0956	Ingegneria Ferroviaria	CIFI	
IHMEEB	0186-4076	Ingenieria Hidraulica en Mexico	Ing Hidraulica en Mex	
INQUDI	0210-2064	Ingenieria Quimica	Ingenieria Quimica SA	
IAUTA9	0020-1200	Ingenieurs de l'Automobile	Soc des Ingenieurs de l'Automobile	
001941	0956-9456	Ink & Print	Batiste Publ Ltd	
INWOFW	1093-328X	Ink World	Rodman Publ Corp	
85PZAB		Innovative Applications of Artificial Intelligence - Conference  Proceedings	AAAI	
INOCAJ	0020-1669	Inorganic Chemistry	ACS	
INOMAF	0020-1685	Inorganic Materials	Plenum Publ Corp	
ICHAA3	0020-1693	Inorganica Chimica Acta	Elsevier Science S.A.	
IQAAAW	0001-4982	Inquinamento	Etas srl	
IKKHAR	0367-8547	"Insatsu-Kyoku Kenkyujo Hokoku/Research Bulletin of the Printing Bureau,   Ministry of Finance"	Res Ins	
ITMOEN	1354-2575	Insight: Non-Destructive Testing and Condition Monitoring	British Inst of Non-Destructive Testing	
002092	0020-2118	Installatore Italiano	Ed Peg	
002931	1044-3746	Instant and Small Commercial Printer	Innes Publ Comp	
IESPAF	0073-9227	"Institute of Environmental Sciences - Proceedings, Annual Technical Meeting"	Inst Environ Sci Technol	
AISXAD	0020-3157	Institute of Statistical Mathematics. Annals	Kluwer Academic Publishers	
ICESDB	0307-0492	Institution of Chemical Engineers Symposium Series	IChemE	
IASIBZ	0227-7576	Instrumentation in the Aerospace Industry : Proceedings of the International   Symposium	Instrument Society of America	
